stdio    D         file_stdio.c:107  file_stdio_fopen                 [   0.00000] opening C:\Users\Nycol\source\repos\ithakaTeste\x64\Debug\allegro5.cfg r
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00000] Also searching C:\Users\Nycol\source\repos\ithakaTeste\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00000] PathFindOnPath found: C:\WINDOWS\system32\shcore.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00000] Calling LoadLibrary C:\WINDOWS\system32\shcore.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00000] Loaded C:\WINDOWS\system32\shcore.dll
system   I             system.c:272  al_install_system                [   0.00000] Allegro version: 5.2.10
system   D            wsystem.c:836  maybe_parent_dir                 [   0.00101] Also searching C:\Users\Nycol\source\repos\ithakaTeste\x64\
system   D            wsystem.c:891  _al_win_safe_load_library        [   0.00141] PathFindOnPath found: C:\WINDOWS\system32\d3d9.dll
system   D            wsystem.c:797  load_library_at_path             [   0.00164] Calling LoadLibrary C:\WINDOWS\system32\d3d9.dll
system   I            wsystem.c:800  load_library_at_path             [   0.00978] Loaded C:\WINDOWS\system32\d3d9.dll
d3d      I         d3d_disp.cpp:679  d3d_init_display                 [   0.06303] Render-to-texture: 1
d3d      I         d3d_disp.cpp:1780 d3d_create_display_locked        [   0.06580] faux_fullscreen=0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.06599] al_display=000001D997BAD920
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.06614] al_display->vt=000001D997BAD770
d3d      I d3d_display_formats.cpp:144  _al_d3d_generate_display_format_list [   0.07617] found 288 format combinations
display  D   display_settings.c:214  debug_display_settings           [   0.07641] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07658] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07671] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07684] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07700] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07720] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.07739] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07761] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.07774] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07790] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.07806] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07822] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.07835] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07850] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.07865] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07883] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.07899] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.07915] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.07940] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07959] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.07973] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.07991] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08005] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08019] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.08036] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08052] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.08066] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08083] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.08106] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08124] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.08161] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08179] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.08196] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08244] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.08260] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08274] Score is : 712
display  D   display_settings.c:214  debug_display_settings           [   0.08288] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08304] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08320] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:529  _al_score_display_settings       [   0.08338] Score is : 897
display  D   display_settings.c:214  debug_display_settings           [   0.08354] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08369] Score is : 726
display  D   display_settings.c:214  debug_display_settings           [   0.08385] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08404] Score is : 721
display  D   display_settings.c:214  debug_display_settings           [   0.08417] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08433] Score is : 717
display  D   display_settings.c:214  debug_display_settings           [   0.08449] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08468] Score is : 715
display  D   display_settings.c:214  debug_display_settings           [   0.08488] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08507] Score is : 714
display  D   display_settings.c:214  debug_display_settings           [   0.08526] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08543] Score is : 713
display  D   display_settings.c:214  debug_display_settings           [   0.08559] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:529  _al_score_display_settings       [   0.08606] Score is : 712
